Good,Bad
-103.625,-102
-95.125,-102.0625
-87.9375,-102.1875
-85,-102.25
-85.5,-102.25
-85.8125,-102.3125
-85.5,-102.375
-85,-102.4375
-84.9375,-102.4375
-85.0625,-102.4375
-85.25,-102.5
-85.375,-102.5
-85.375,-102.5625
-85.4375,-102.9375
-85.5,-103.6875
-85.5625,-105.5
-85.625,-108.5625
-85.625,-111.75
-85.6875,-114.9375
-85.75,-117.875
-85.75,-120.375
-85.8125,-122.875
-85.8125,-123.375
-85.8125,-122.3125
-85.8125,-119.5
-85.8125,-114.4375
-85.6875,-107
-85.6875,-98.125
-85.75,-87.0625
-85.8125,-75.0625
-85.8125,-64.0625
-85.8125,-54.8125
-85.8125,-47.5625
-85.8125,-43.375
-85.8125,-39.875
-85.8125,-36.8125
-85.8125,-34.5625
-85.8125,-32.75
-85.8125,-30.875
-85.8125,-30.5
-85.8125,-32.0625
-85.8125,-33.4375
-85.8125,-34.3125
-85.8125,-35.1875
-85.8125,-37.1875
-85.8125,-40.375
-85.8125,-44.6875
-85.875,-50.25
-85.9375,-55.9375
-85.875,-61.6875
-85.875,-67.1875
-85.8125,-72.5
-85.8125,-78
-85.8125,-84.1875
-85.8125,-91.4375
-85.8125,-98.25
-85.8125,-103.25
-85.8125,-106.5
-85.75,-107.125
-85.8125,-107.5625
-85.8125,-107.6875
-85.8125,-107.75
-85.875,-107.75
-85.8125,-107.8125
-85.875,-107.8125
-85.9375,-107.8125
-86,-107.8125
-86,-107.8125
-86,-107.8125
-86,-107.8125
-86,-107.6875
-86,-107.75
-86,-110.5625
-86,-114.6875
-86,-118.9375
-86,-122.9375
-86,-124.6875
-86,-124.5
-86,-119.5625
-86,-110
-86,-97.5
-86,-84.5625
-86,-72.375
-86,-61.5625
-86.0625,-53.0625
-86.0625,-45
-86.0625,-38
-86.0625,-32.4375
-86.0625,-28.625
-86.1875,-25.875
-86.1875,-23.5625
-86.375,-22.125
-86.6875,-20.875
-87.6875,-19.75
-89.3125,-18.875
-91.375,-18.6875
-93.6875,-19.9375
-96.1875,-21.875
-98.8125,-23.8125
-101.125,-25.4375
-103.125,-27.8125
-105.3125,-30.6875
-109.25,-33.25
-113.9375,-35
-117.9375,-36.3125
-119.4375,-38
-118,-40.3125
-111.5,-43.375
-101.0625,-47
-88.8125,-50.875
-77.3125,-53.875
-67.6875,-56.125
-60.0625,-57.9375
-54.125,-59.3125
-49.3125,-60.9375
-45.1875,-62.25
-42.125,-63.125
-38.8125,-63.6875
-35.1875,-64.5625
-32.25,-65.5625
-29.5625,-66.1875
-27.125,-66.5
-25.125,-66.5625
-23.875,-66.625
-23.6875,-67
-24.4375,-67.3125
-25.1875,-67.3125
-25.75,-67.3125
-26.25,-67.4375
-27.4375,-67.6875
-29.0625,-68.0625
-30.75,-68.4375
-32.5625,-68.875
-35.25,-69.375
-39.0625,-70.25
-43.75,-71.0625
-49.375,-71.625
-56.8125,-72.1875
-65.3125,-72.875
-73.5,-73.5
-80.6875,-73.875
-86.375,-73.9375
-90,-73.9375
-92.8125,-74.1875
-96.25,-74.5625
-97.8125,-74.9375
-97.25,-75.25
-97.0625,-75.3125
-97.0625,-75.3125
-96.9375,-75.4375
-96.875,-75.5625
-96.9375,-75.5625
-96.9375,-75.5625
-96.9375,-75.5625
-97,-75.5625
-96.9375,-75.5625
-96.9375,-75.5625
-96.9375,-75.75
-97.0625,-76.5
-97.1875,-77.75
-97.1875,-79
-97.25,-80.125
-97.3125,-81.6875
-97.3125,-84.0625
-97.3125,-86.9375
-97.25,-90.125
-96.875,-93.4375
-95.375,-97.0625
-91.5,-101
-87.125,-104.625
-81.375,-108.0625
-74.75,-112.0625
-68.5625,-116.625
-63.5,-121.5
-59.25,-125.9375
-56.125,-127.6875
-53.375,-122.375
-50.875,-109.4375
-48.4375,-93.1875
-46.375,-76.4375
-44.5,-60.5625
-42.5,-47.8125
-40.125,-38.25
-37.5625,-31.375
-36.1875,-27.4375
-37.25,-24.75
-40.375,-22.75
-45.125,-20.9375
-51.4375,-19.0625
-58.6875,-17.625
-65.875,-17.125
-73,-17.75
-79.8125,-18.875
-86.0625,-20
-90.3125,-21.3125
-92.5625,-23.0625
-93.875,-24.8125
-95.4375,-26.1875
-96.0625,-27.625
-96.125,-29.625
-96.1875,-32.0625
-97.125,-34.875
-98.625,-37.9375
-100.0625,-41.5625
-100.4375,-45.75
-99.9375,-50.125
-98.9375,-53.8125
-97.125,-55.875
-94.75,-58.25
-91.5625,-60.875
-87.8125,-62.625
-83.5625,-62.1875
-78.6875,-59.75
-73.625,-57.5
-68.375,-55.875
-63.0625,-56.0625
-57.5625,-57.75
-52.1875,-59.25
-47.875,-60.8125
-44.375,-63.5
-41.25,-66.8125
-36.75,-70.875
-33.125,-74.3125
-29.6875,-77.625
-26.375,-78.75
-23.1875,-77.3125
-20.125,-73.1875
-18.5,-66.375
-18.1875,-58.3125
-18.9375,-50.9375
-20.375,-45.4375
-22.125,-40.8125
-24.625,-37.1875
-28.1875,-33.75
-32.8125,-30.875
-38.5,-28.375
-44.875,-27.125
-52.5625,-27.625
-60.875,-28.75
-68.625,-29.8125
-75,-30.4375
-78.875,-30.75
-82.25,-30.875
-85.0625,-31.125
-86.75,-31.75
-87.75,-32.6875
-87.5,-34.0625
-87.5625,-35.5625
-87.5625,-37.375
-87.5625,-39.25
-87.5625,-41.0625
-87.5625,-42.75
-87.625,-44.375
-87.5625,-46.125
-87.4375,-48.4375
-86.125,-51.5
-81.25,-54.8125
-74.875,-58.0625
-68.3125,-61.1875
-61.5,-64.0625
-54.75,-66.625
-48.5,-69.4375
-43.125,-72.375
-38.8125,-74.8125
-34.5625,-76.5625
-30.625,-78.5625
-27.625,-80.9375
-24.375,-83.5625
-21.4375,-86.5
-19.75,-89.625
-19.5,-92.625
-20,-95.8125
-20.5625,-99
-21,-101.8125
-21.8125,-105.625
-22.6875,-109
-23.5625,-112.875
-24.75,-116.6875
-26.125,-119.5
-27.3125,-119.9375
-28.875,-114.8125
-31.3125,-102.9375
-34.375,-87.4375
-38.1875,-70.9375
-42.0625,-56
-46.625,-45.3125
-52.4375,-38.25
-58.6875,-33.875
-64.3125,-31.125
-69.375,-28.9375
-73.875,-27
-77.75,-25.5
-80.375,-24.5625
-82.875,-24.1875
-84.6875,-24.1875
-84.625,-24.375
-84.6875,-24.8125
-85.0625,-25.625
-86.125,-26.625
-88.375,-27.25
-93.1875,-27.375
-98.5,-27.4375
-104.5,-27.5
-110.75,-27.6875
-116.75,-28.0625
-122.875,-28.5
-130,-29.5
-136.5,-31.5
-139.9375,-34.25
-139.8125,-37.25
-136.1875,-40.5625
-127.6875,-44.4375
-115.9375,-48.125
-101.875,-51.875
-85.8125,-55.375
-71.3125,-58
-59.25,-60.25
-48.25,-62.375
-40.1875,-64.25
-34.75,-66.0625
-30.0625,-68
-25.6875,-70.1875
-22.25,-72.1875
-19.6875,-73.75
-17.8125,-75.125
-16.1875,-76.375
-14.8125,-77
-13.625,-77.1875
-13.5625,-77.25
-14.1875,-77.4375
-14.375,-78
-15,-78.6875
-16.625,-79.625
-19.5,-80.5
-23.25,-81.6875
-27.75,-83.375
-32.3125,-86.375
-36.5625,-90.25
-41.8125,-94.5625
-47.9375,-98.6875
-53.8125,-102.8125
-59.0625,-107.0625
-63.3125,-111.875
-66.5625,-117.3125
-69.125,-121.875
-71.8125,-124.75
-74,-123.25
-75.0625,-114.25
-76.625,-103.75
-78.875,-88.0625
-81.125,-70.375
-82.875,-54.8125
-84.625,-41.5625
-85.875,-30.8125
-86.9375,-23.375
-88.3125,-19.75
-89.4375,-17.875
-89.1875,-16.875
-89.25,-16.0625
-89.3125,-15.5
-89.3125,-15.125
-89.3125,-15.4375
-89.3125,-16.4375
-89.375,-17.4375
-89.375,-18.0625
-89.375,-18.6875
-89.375,-20
-89.375,-21.6875
-89.625,-23.3125
-89.8125,-25.125
-90.625,-27.375
-91.6875,-30.4375
-91.5,-33.8125
-93,-36.6875
-97.0625,-38.6875
-103.125,-40.25
-108.375,-42.1875
-111.125,-44.375
-113.3125,-46.375
-114.875,-48.375
-115.1875,-50.5
-113.3125,-53.5625
-110.3125,-56.6875
-107.25,-59.8125
-104.875,-62.75
-104.25,-65.375
-104.9375,-67.5625
-104.125,-69.625
-97.5625,-71.8125
-86.9375,-74.375
-74.25,-77.75
-61.5,-81.5625
-50.875,-85.5625
-42.5,-90.625
-35.4375,-96.0625
-29.8125,-101.3125
-24.625,-104.75
-19.625,-107.0625
-15.0625,-107.75
-11.375,-107.5
-9.5625,-107.3125
-9.625,-107.25
-10.625,-107.3125
-11.9375,-107.3125
-13.75,-107.5625
-17.4375,-107.875
-23.5625,-109.6875
-30.4375,-113.625
-36.8125,-117.75
-42.75,-120.625
-49.8125,-118.4375
-58,-109.25
-66.625,-94.6875
-73.9375,-76.625
-79.75,-58.25
-84.5,-42.875
-87.625,-31
-89.6875,-23.1875
-91.4375,-18.625
-93.4375,-15.9375
-95.3125,-13.8125
-97.6875,-12.375
-99.1875,-11.9375
-100.375,-12.4375
-101,-13.375
-101.375,-14.25
-101.125,-15.3125
-100.375,-16.9375
-99.9375,-19.375
-100.1875,-22.25
-100.125,-24.9375
-100.25,-27.125
-100.3125,-27.875
-100.4375,-27.3125
-100.5,-27.25
